id,rank,question
1,1,电脑中央处理器的英文简写为？
2,2,武侯祠在什么地方？
3,3,公元230年，孙权派卫温率船队到达夷洲。夷洲是现在的哪里？
4,4,以“无字碑”闻名天下的是哪位君主？
5,5,“匈奴未灭，何以家为”是谁的豪言？
6,6,“沉鱼落雁，闭月羞花”中“闭月”是指哪位美人？
7,7,被称为“诗圣”的唐代诗人是谁？
8,8,中国最大的淡水湖是？
9,9,《钢铁是怎样炼成的》的作者是谁？
10,10,不明飞行物的英文缩写是？
11,11,五岳中的中岳是？
12,12,在我国，俗称“四不像”的动物是？
13,13,李白笔下的“飞流直下三千尺”指的是哪处瀑布？
14,14,马是怎样睡觉的？
15,15,围棋棋盘中央的那个点叫什么？
16,16,人体最坚硬的部分是？
17,17,历史上占领香港，并与我国签订不平等条约的是？
18,18,世界上土地面积最大的国家是？
19,19,电子计算机发明于哪一年？
20,20,《百家姓》前4位姓氏不包含以下的哪个？
21,21,奔驰汽车品牌诞生于哪个国家？
22,22,莎士比亚四大悲剧中哪部又称“王子复仇记”？
23,23,“WTO”代表什么世界组织？
24,24,巴黎凯旋门是为纪念谁而建？
25,25,“而立之年”指的是多少岁？
26,26,“隐形飞机”是指什么样的飞机？
27,27,唐王维诗《九月九日忆山东兄弟》“每逢佳节倍思亲”，诗中的“佳节”指的是？
28,28,美国第一任总统是谁？
29,29,古代科举考试最后在殿试中考取第二名被称为是？
30,30,我国道家学派创始人是？
31,31,基督教的重要节日“圣诞节”是在哪一天？
32,32,世界上最大的岛屿是哪个？
33,33,张衡发明的地动仪是用来干什么用的？
34,34,“蜻蜓点水”是为了什么？
35,35,下列哪一项不属于原始社会时期的北京人的生活？
36,36,发射第一颗人造卫星的国家是？
37,37,“轻于鸿毛”中的鸿毛是哪种动物的毛？
38,38,下列故事不是《三国演义》中的一项是？
39,39,《四库全书》是哪位皇帝下令编纂的？
40,40,发现新大陆的是 ?
41,41,“光年”是什么单位？
42,42,“人生自古谁无死，留取丹心照汗青”的作者是？
43,43,世界上第一条地铁在1863年建于何处？
44,44,“半部论语治天下”之说由谁而来？
45,45,北宋的东京城是今天的？
46,46,《二十四史》中篇幅最大的是哪部？
47,47,“侦探福尔摩斯”第一次出现在哪部作品中？
48,48,“破釜沉舟”讲的是历史上哪位名人的事迹？
49,49,旗袍起源于我国哪个少数民族的服装？
50,50,被称为“杂交水稻之父”的中国科学家是？
51,51,孔雀开屏的目的是？
52,52,蒲公英靠什么传播种子？
53,53,鸟类中最小的是？
54,54,世界上最大的熊是？
55,55,牛、马的年轮长在什么位置？
56,56,鳄鱼为什么流眼泪？
57,57,古时被尊为“火神”的是？
58,58,穿山甲是用什么捕食的？
59,59,咖啡的故乡是哪里？
60,60,自由女神像是哪个国家送给美国的礼物？
61,61,著名佛教建筑大雁塔位于何处？
62,62,举世闻名的泰姬陵坐落在哪个国家境内？
63,63,我国第一大岛是？
64,64,人类是恒温动物，体温总维持在多少摄氏度左右？
65,65,谁是“中山装”的创始人？
66,66,古希腊哪个城邦的勇士以训练残酷、骁勇善战闻名？
67,67,爱新觉罗溥仪撰写的自传是？
68,68,歇后语，黄鼠狼给鸡拜年的下一句是什么？
69,69,歇后语，十五个吊桶打水的下一句是什么？
70,70,壁虎在遭遇危险时会舍弃身体的什么部分逃走？
71,71,大鲵因叫声很像幼儿哭声，因而又名为？
72,72,项羽是在哪条河边自刎的？
73,73,著名卡通形象米老鼠，一只手上有几根手指？
74,74,《全唐诗》是哪个时期的人编辑的？
75,75,MP3是一种什么文件格式？
76,76,《本草纲目》的作者是？
77,77,哈雷彗星绕太阳运行的周期约为？
78,78,离地球最近的恒星是？
79,79,古代著名的水利工程都江堰是谁主持建造的？
80,80,七大洲中面积最小的是？
81,81,按照西方习俗，结婚戒指戴在左手哪根手指上？
82,82,“大珠小珠落玉盘”形容的是什么乐器的弹奏声？
83,83,我国第一部诗歌总集是？
84,84,孑孓是什么动物的幼体？
85,85,中国古代名医华佗为谁所杀？
86,86,《孙子兵法》的作者是？
87,87,中国曾举办哪年奥运会？
88,88,奥林匹克运动会的口号不包括以下哪项？
89,89,自然界已知的嘴硬物质为？
90,90,“狼毫”的原料取自？
91,91,《道德经》是哪家的经典？
92,92,金刚石的组成元素与下列什么物质相同？
93,93,民间传说《白蛇传》中“白娘娘盗仙草”盗的是？
94,94,以下哪种动物是软体动物？
95,95,号“六一居士”的是？
96,96,西游记中西天取经的“唐三藏”的法名是？
97,97,被称为药王的历史人物是？
98,98,《义勇军进行曲》是哪一位作曲家所作的歌曲？
99,99,一年有几个节气？
100,100,在“精卫填海”的故事里，精卫是怎样的一种形象？
101,101,“卧薪尝胆”说的是哪位历史人物？
102,102,《西游记》中的火焰山位于？
103,103,在“夸父逐日”中，“夸父”是怎样追逐太阳的？
104,104,君子六艺“礼、乐、射、御、书、数”中的御是指？
105,105,“期期艾艾”这个典故讲的是西汉的周昌和西晋的邓艾两人说话时的什么毛病？
106,106,安徒生童话《海的女儿》里，小美人鱼变成人是为了见到谁？
107,107,《宝莲灯》的故事中，二郎神是主人公沉香的什么人？
108,108,“我自横刀向天笑，去留肝胆两昆仑。”是谁的诗句？
109,109,“望梅止渴”典故与哪个历史人物有关？
110,110,在狗的眼睛里，世界是什么颜色的？
111,111,“出淤泥而不染”说的是哪种植物？
112,112,第一个进入太空的地球生物是？
113,113,飞机是谁发明的？
114,114,世界上第一个登上月球的航天员是谁？
115,115,蝙蝠晚上捕捉食物不靠眼睛，靠什么呢？
116,116,以下哪个国家不是四大文明古国之一？
117,117,端午节包粽子是为了纪念哪位人物？
118,118,我国通用火警电话是？
119,119,一年有几个季节？
120,120,我国的国宝是什么动物？
121,121,“十二生肖”中，哪种动物排在第一位？
122,122,成语“完璧归赵”中的壁，全称为？
123,123,八一建军节是为了纪念什么事件？
124,124,“身在曹营心在汉”说的是三国时期哪一位著名武将？
125,125,“杯酒释兵权”的是哪位皇帝？
126,126,唐朝盛世“贞观之治”出现在哪位皇帝的执政时期？
127,127,“焚书坑儒”的是中国的哪一位皇帝？
128,128,古埃及人用特殊的方法保存下来的不腐尸体叫做什么？
129,129,山顶洞人被发现于今天的哪个城市？
130,130,《西游记》中的孙悟空的如意金箍棒又叫什么？
131,131,《西游记》中，红孩儿的妈妈是谁？
132,132,被誉为“雨神”的是哪位歌手？
133,133,金刚葫芦娃中的女妖精是什么妖怪？
134,134,成吉思汗的名字叫？
135,135,中国土生土长的宗教是？
136,136,圣经中谁带领以色列人逃出埃及？
137,137,传说佛祖在何种植物下彻悟成佛？
138,138,“知识就是力量”是谁的名言？
139,139,在古罗马神话的诸神中，被称为“爱与美之神”的是？
140,140,北京故宫又称为？
141,141,世界上最大的哺乳动物是？
142,142,跑得最快的鸟是？
143,143,海洋中最多的生物是？
144,144,日全食时，太阳光是被什么遮住了？
145,145,月球环绕地球一周的时间约为？
146,146,以下哪种鸟类可以模仿人语？
147,147,澳大利亚的国宝是什么动物？
148,148,世界上跑得最快的动物是？
149,149,《堂吉诃德》的作者是？
150,150,曾有”日不落帝国“之称的是哪个国家？
151,151,苏联解体发生在哪一年？
152,152,《三国志》的作者是？
153,153,中国古代类似足球的运动叫做？
154,154,月球的引力是地球的几分之一？
155,155,以下哪项不是中国古代的四大发明？
156,156,我国最长的河流是什么？
157,157,把水加热，通常到多少度会沸腾？
158,158,青蛙的幼体叫什么？
159,159,八仙中，倒骑毛驴的是？
160,160,白鳍豚用什么呼吸？
161,161,长江在上海最终注入哪片海？
162,162,柿饼外往往裹着一层白粉，请问这层白粉的成分是？
163,163,道教的创教者是？
164,164,道教中，福禄寿三星中寿星手托着什么？
165,165,以下哪位，不是东汉末年领导黄巾起义的三兄弟？
166,166,封神演义是一部什么类型的小说？
167,167,封神演义中，魅惑纣王的女子是？
168,168,烽火戏诸侯是周幽王为了讨好谁而发生的？
169,169,古称“天府之国”的是？
170,170,古代神话中认为昆仑山中居住着的神仙是？
171,171,古时用“十二生肖”对应十二地支，其中与“丑”对应的是？
172,172,官渡之战中，曹操军战胜了下列哪一位所领的大军？
173,173,三国演义中，被称为三姓家奴的是？
174,174,封神中，姜子牙的师傅是谁？
175,175,荆轲受燕太子丹之托，前往刺杀什么人？
176,176,科举制始于哪个朝代？
177,177,历史传说，五禽戏的发明者是汉代名医，他的名字是？
178,178,历史上，号东坡居士的是？
179,179,《水浒传》中，林冲的外号是？
180,180,三清山位于中国江西省，从名字可以看出，三清山是哪个宗教的名山？
181,181,哆啦A梦共有几根手指？
182,182,中国有五行之说，以下不属于五行之一的是？
183,183,世界上现存最大的猫科动物是？
184,184,成语“四面楚歌”典出哪次战争？
185,185,昙花一现出现的时间通常是？
186,186,《封神演义》中，被称为托塔天王的是？
187,187,“王侯将相宁有种乎”为何人所说？
188,188,《西游记》中真假美猴王一节，冒充孙悟空的是？
189,189,以下那颗星星不是北斗七星之一？
190,190,以下哪一部是范仲淹的作品？
191,191,元朝的首都叫做？
192,192,昭君出塞发生在下列哪一时期？
193,193,中国最早的医学典籍是哪一本？
194,194,著名的三峡不包括？
195,195,著名的古乐器编钟属于？
196,196,《三国演义》中，关羽的武器是？
197,197,中国上古神话中，火的发现者是？
198,198,《一千零一夜》中，摩擦神灯召唤神灯精灵的是？
199,199,后羿射日的传说中，后羿共射下几个太阳？
200,200,远古神话中，女娲用什么石头补天？
